null_type,rho
unmatched,0.18731685731430658
unmatched,0.07040514221960978
unmatched,0.08337418432554049
unmatched,0.23767593601073356
unmatched,0.20036793998288124
unmatched,0.09362031071702086
unmatched,0.15677192425769754
unmatched,0.10377340456897269
unmatched,0.09488230559100493
unmatched,0.07068180383191543
unmatched,-0.004236242208242908
unmatched,0.0349569017230803
unmatched,-0.012712205708243432
unmatched,0.11480187832833
unmatched,0.1265811196217714
unmatched,0.13240763180040244
unmatched,0.08938271055331112
unmatched,0.02530341440802383
unmatched,0.01626813534727035
unmatched,0.16102613193991913
unmatched,0.12435462552162706
unmatched,0.03983756703119257
unmatched,-0.012688711120579536
unmatched,0.19450322456191096
unmatched,0.13251610900177596
unmatched,0.13136106897333316
unmatched,0.08530390976943147
unmatched,0.05677211655673609
unmatched,0.1267962600791595
unmatched,0.17634917546985962
unmatched,-0.09990466277250282
unmatched,0.2954370827730551
unmatched,0.2395143588751941
unmatched,0.16899569710869602
unmatched,0.09203852533628319
unmatched,0.13627645164855934
unmatched,0.18385108723900667
unmatched,0.12131661298640435
unmatched,0.004217076901693985
unmatched,0.07805851556657174
unmatched,0.051172048154672696
unmatched,0.14644008933034974
unmatched,0.10651405288329494
unmatched,0.2867060009559345
unmatched,0.05369878905435025
unmatched,0.03918634905337232
unmatched,-0.03457862748200377
unmatched,0.13876744848335018
unmatched,0.12192527250435148
unmatched,0.11497744826190404
unmatched,0.248090753803188
unmatched,0.13014547599926163
unmatched,-0.025347307134446842
unmatched,0.08937459802497365
unmatched,0.009348209846265344
unmatched,-0.06706076227337336
unmatched,0.0807480948231648
unmatched,0.06468093541814673
unmatched,-0.012925808885921085
unmatched,0.01522283796633507
unmatched,0.1600728699669198
unmatched,-0.007071564537735042
unmatched,0.13035058910590655
unmatched,0.10389115993269228
unmatched,0.019524855604902483
unmatched,0.16273825041286857
unmatched,0.21618191795493075
unmatched,0.2078947459912881
unmatched,0.05498932105554093
unmatched,0.08713735744567966
unmatched,0.06543270855311595
unmatched,0.056804696707172336
unmatched,0.044658517737524266
unmatched,0.03878766878838991
unmatched,0.181719306837387
unmatched,0.002787092228521677
unmatched,0.0028450606620235666
unmatched,0.0978544294413104
unmatched,0.1636824362790227
unmatched,0.03890570570540446
unmatched,0.16405829457933874
unmatched,0.14561854480961473
unmatched,0.0003291227257357499
unmatched,0.05093254949173257
unmatched,0.03344997279598921
unmatched,0.21657062467842003
unmatched,0.04611297337553537
unmatched,0.20131995994195484
unmatched,0.05941617578870767
unmatched,0.08874581744775045
unmatched,0.05444388561607841
unmatched,0.13688709555674894
unmatched,0.015190542389404055
unmatched,0.11900654402940433
unmatched,0.13488258902761638
unmatched,0.28547356621774295
unmatched,0.07296518610115141
unmatched,0.11152116727993644
unmatched,0.11474624255896688
unmatched,0.18493767069840752
unmatched,0.06768284416122226
unmatched,0.07777373456196521
unmatched,0.09593719615374977
unmatched,0.09375057953113951
unmatched,0.18409438230829606
unmatched,0.0950863349599545
unmatched,-0.009786298529861712
unmatched,0.006068244582901091
unmatched,0.09646697799080647
unmatched,0.09334481680325142
unmatched,0.12108689177561524
unmatched,0.03239163628401531
unmatched,0.08513303740959344
unmatched,0.09500799870871617
unmatched,0.08946064372558098
unmatched,0.02262544139077719
unmatched,0.18838309009912008
unmatched,0.1580451161861307
unmatched,0.12145754963449985
unmatched,0.1982422452166598
unmatched,-0.012336400312212552
unmatched,0.06647007799210923
unmatched,0.15402738990378945
unmatched,0.06149219657618026
unmatched,0.23342187211540383
unmatched,0.12900853735216783
unmatched,0.11365144227952767
unmatched,0.0867761271637731
unmatched,0.07515018430657462
unmatched,0.21876182446771988
unmatched,-0.0036445957135303715
unmatched,0.09166251377459671
unmatched,0.11295607649086387
unmatched,0.28014775207968784
unmatched,0.1953397811966156
unmatched,0.07801046516923586
unmatched,0.18562306262622047
unmatched,0.15982373400160788
unmatched,0.17383892506884208
unmatched,0.027226312888636486
unmatched,0.10439117269071217
unmatched,0.1765561481053237
unmatched,0.11320857487311282
unmatched,0.030847134489288018
unmatched,0.026625269691178236
unmatched,0.08672388539917349
unmatched,0.0957423571463294
unmatched,-0.11066841891493161
unmatched,0.011729364137415061
unmatched,0.15577682132907922
unmatched,0.04532132068588819
unmatched,-0.012932967595275756
unmatched,0.14094340489655574
unmatched,0.1358902300481543
unmatched,0.10884821251011217
unmatched,0.14496987965910993
unmatched,0.14491687933500694
unmatched,0.056694026676581445
unmatched,0.07852542469610896
unmatched,-0.04323779956592866
unmatched,0.02843298710692809
unmatched,0.0020362480004474026
unmatched,0.08603465189950846
unmatched,0.023838129334404153
unmatched,0.1332713707546775
unmatched,0.1761346386091567
unmatched,0.053784364204577696
unmatched,0.14547281358810235
unmatched,0.032935073819434155
unmatched,0.0658001172936158
unmatched,0.14394903794402095
unmatched,0.14588947687691858
unmatched,0.006828693376906725
unmatched,0.12158875071814804
unmatched,-0.02121540666049459
unmatched,0.06808719732429283
unmatched,0.16390444709158872
unmatched,-0.036470616941967474
unmatched,0.020193989391507777
